00:00:00,1840,Type 1,0.0,"(16.37347997265378, 48.212315567911205)","(16.349007897514852, 48.19287000177065)",2
00:00:00,427,Type 3,1.0,"(16.34024576775175, 48.241170048341935)","(16.373332493392997, 48.203757142513176)",1
00:00:00,4275,Type 2,3.0,"(16.37460325, 48.2203937)","(16.35152861465545, 48.27596231790624)",1
00:00:00,3862,Type 3,4.0,"(16.31614382713935, 48.22996692194477)","(16.27798793041414, 48.244493911387394)",2
00:00:00,96,Type 1,4.0,"(16.34024576775175, 48.241170048341935)","(16.36063574455692, 48.2103920432882)",1
00:00:00,1664,Type 2,7.0,"(16.30930995564679, 48.25227837428879)","(16.355840476469524, 48.18829985036078)",1
00:00:00,13,Type 1,7.0,"(16.413526360203182, 48.17914110644286)","(16.3574133, 48.2078626)",1
00:00:00,4750,Type 3,8.0,"(16.364844211152324, 48.18319919234158)","(16.313490272032265, 48.157276885822135)",1
00:00:00,3777,Type 2,9.0,"(16.427357502497063, 48.23742284460008)","(16.318275231077042, 48.20966253845944)",1
00:00:00,849,Type 2,10.0,"(16.37444673618794, 48.22145407967072)","(16.423503664343677, 48.21653828078775)",1
00:00:00,964,Type 2,10.0,"(16.339134716755876, 48.19325944851234)","(16.460406782489027, 48.18448492437013)",1
00:00:00,4488,Type 1,12.0,"(16.272532294980728, 48.19627260215861)","(16.385128745625092, 48.24638389013789)",1
00:00:00,4668,Type 3,14.0,"(16.37507775, 48.22102195)","(16.453696875148506, 48.20638365617695)",1
00:00:00,1567,Type 1,14.0,"(16.428257502497065, 48.23742284460008)","(16.37498069480947, 48.19814474958669)",4
00:00:00,4625,Type 1,14.0,"(16.405995046134706, 48.20303335268365)","(16.425678433323068, 48.21938137266436)",1
00:00:00,1334,Type 2,15.0,"(16.339584352808064, 48.19404375250662)","(16.362769537277586, 48.19479347762514)",1
00:00:00,811,Type 3,17.0,"(16.34024576775175, 48.241170048341935)","(16.422803462222152, 48.19127478278255)",1
00:00:00,4460,Type 1,18.0,"(16.34069576775175, 48.241170048341935)","(16.385641915520615, 48.23595091946123)",1
00:00:00,4535,Type 2,18.0,"(16.33790089993617, 48.1886049216606)","(16.392788273862372, 48.25536939448132)",2
00:00:00,4691,Type 1,18.0,"(16.34980497527009, 48.18114628366276)","(16.462973158611604, 48.19994256928358)",1
00:00:00,1223,Type 2,19.0,"(16.348853281900926, 48.208798927222816)","(16.40073334548526, 48.18796170931611)",1
00:00:00,2415,Type 3,20.0,"(16.358817747355562, 48.23625273119687)","(16.355607236024316, 48.22481789640912)",1
00:00:00,4585,Type 2,21.0,"(16.35800779095383, 48.23615309565032)","(16.411711877309674, 48.255138513079736)",1
00:00:00,2978,Type 1,21.0,"(16.27298229498073, 48.19627260215861)","(16.432331358155988, 48.16326446991315)",1
00:00:00,2096,Type 2,23.0,"(16.35123869465479, 48.18141044437578)","(16.351544292878643, 48.20038833638176)",1
00:00:00,1367,Type 2,23.0,"(16.41293016786417, 48.26124929704659)","(16.3673396335475, 48.18536219486841)",1
00:00:00,4712,Type 2,23.0,"(16.37014667901704, 48.25058588783329)","(16.294455259564643, 48.15122387929475)",2
00:00:00,1155,Type 3,24.0,"(16.37460325, 48.2203937)","(16.394956099651953, 48.19672984221688)",1
00:00:00,1631,Type 1,24.0,"(16.30930995564679, 48.25227837428879)","(16.35054195, 48.18763415)",1
00:00:00,3525,Type 3,24.0,"(16.27343229498073, 48.19627260215861)","(16.3241026, 48.1943472)",1
00:00:00,4796,Type 1,24.0,"(16.427807502497064, 48.23742284460008)","(16.341257356955772, 48.14417772930196)",1
00:00:00,3767,Type 1,24.0,"(16.331159741186045, 48.15037738126956)","(16.31058625, 48.22336445)",1
00:00:00,1056,Type 3,26.0,"(16.30930995564679, 48.25227837428879)","(16.388035670678626, 48.19228859364959)",1
00:00:00,472,Type 2,26.0,"(16.27343229498073, 48.19627260215861)","(16.37261617968789, 48.2117516136939)",1
00:00:00,3299,Type 2,26.0,"(16.41293016786417, 48.26124929704659)","(16.343514868101483, 48.18528623061244)",1
00:00:00,3271,Type 1,27.0,"(16.330709741186045, 48.15037738126956)","(16.336219845581184, 48.18495597231909)",1
00:00:00,3542,Type 1,27.0,"(16.309571768365693, 48.21861857620648)","(16.32522898863352, 48.201433351486784)",1
00:00:00,4533,Type 2,28.0,"(16.370522336083518, 48.21785486811585)","(16.392788273862372, 48.25536939448132)",2
00:00:00,508,Type 2,28.0,"(16.405995046134706, 48.20303335268365)","(16.37553958990722, 48.20148484758574)",4
00:00:00,1268,Type 2,32.0,"(16.37507775, 48.22102195)","(16.406042298690398, 48.187864898667726)",1
00:00:00,4661,Type 2,33.0,"(16.405995046134706, 48.20303335268365)","(16.445308380533255, 48.24442945453824)",1
00:00:00,1592,Type 3,33.0,"(16.309571768365693, 48.21861857620648)","(16.34594733177895, 48.18564752912303)",1
00:00:00,3936,Type 1,35.0,"(16.37065582427942, 48.20902345433112)","(16.30593258455968, 48.225185846434776)",2
00:00:00,2585,Type 3,36.0,"(16.33848860385958, 48.19352985186349)","(16.3411425234949, 48.16944695431934)",1
00:00:00,899,Type 2,38.0,"(16.309571768365693, 48.21861857620648)","(16.441695013894133, 48.191039299677264)",1
00:00:00,4781,Type 3,40.0,"(16.360216381575853, 48.15654168118001)","(16.332217561100567, 48.15682105429872)",2
00:00:00,4342,Type 1,40.0,"(16.348853281900926, 48.208798927222816)","(16.368799651840522, 48.23603995967726)",1
