00:00:00,4372,Type 3,0.0,"(16.3944435569905, 48.205652936242586)","(16.33719915, 48.18031655)",2
00:00:00,2435,Type 1,2.0,"(16.364889584230312, 48.223334621402806)","(16.347834413617704, 48.189785045090105)",2
00:00:00,2720,Type 1,3.0,"(16.317637741299876, 48.20203119856377)","(16.349071013853877, 48.20137444482532)",2
00:00:00,3541,Type 1,3.0,"(16.37731548726512, 48.23030917272605)","(16.369412430990106, 48.16277029720974)",2
00:00:00,4304,Type 3,6.0,"(16.30691539979816, 48.17045612858273)","(16.32826454742017, 48.175144833576205)",2
00:00:00,5963,Type 2,6.0,"(16.407943134333603, 48.19239972965126)","(16.378026205391585, 48.24739433748897)",2
00:00:00,3099,Type 2,6.0,"(16.332812280683072, 48.26366802852738)","(16.349875202895042, 48.22156113320244)",2
00:00:00,2152,Type 1,7.0,"(16.351752648142448, 48.20634251187884)","(16.35054195, 48.18763415)",2
00:00:00,1348,Type 2,7.0,"(16.330709741186045, 48.15037738126956)","(16.381172976673213, 48.197016777962574)",1
00:00:00,2812,Type 3,8.0,"(16.355467975801318, 48.18514624227642)","(16.355433672808445, 48.20255296757189)",2
00:00:00,3560,Type 3,8.0,"(16.361782124894567, 48.20279096190522)","(16.3698486395482, 48.17554845127339)",2
00:00:00,2511,Type 3,9.0,"(16.427807502497064, 48.23742284460008)","(16.35190791068912, 48.19495334624682)",1
00:00:00,4296,Type 3,9.0,"(16.341899558408258, 48.2509190562936)","(16.32855821734644, 48.17020278301791)",2
00:00:00,5974,Type 2,9.0,"(16.405995046134706, 48.20303335268365)","(16.378026205391585, 48.24739433748897)",1
00:00:00,431,Type 3,10.0,"(16.404592469393943, 48.17000596594804)","(16.369876540956835, 48.20646615798351)",2
00:00:00,3026,Type 2,13.0,"(16.348853281900926, 48.208798927222816)","(16.355356178227552, 48.21035536430987)",1
00:00:00,4000,Type 1,14.0,"(16.35123869465479, 48.18141044437578)","(16.44185664535423, 48.169207575190335)",1
00:00:00,6108,Type 2,15.0,"(16.340562044360276, 48.2059907138633)","(16.383500771671475, 48.26194392484823)",2
00:00:00,4605,Type 1,15.0,"(16.339584352808064, 48.19404375250662)","(16.297942656870976, 48.200033811927874)",1
00:00:00,4525,Type 1,15.0,"(16.3415925234949, 48.16944695431934)","(16.26935431366393, 48.194015627411424)",2
00:00:00,5039,Type 2,16.0,"(16.420059676387115, 48.18806791791769)","(16.30983955, 48.21483585)",2
00:00:00,5450,Type 3,16.0,"(16.39619881678846, 48.22302614094036)","(16.317434928142458, 48.23563218046296)",2
00:00:00,751,Type 2,17.0,"(16.41203016786417, 48.26124929704659)","(16.3790569, 48.20610535)",1
00:00:00,173,Type 2,17.0,"(16.348853281900926, 48.208798927222816)","(16.36366263469762, 48.201323820897365)",1
00:00:00,3049,Type 2,18.0,"(16.39227614884457, 48.15305348714484)","(16.35593060672859, 48.21233619845629)",1
00:00:00,4117,Type 2,19.0,"(16.36029063359618, 48.14377142186187)","(16.313577985626367, 48.1605199456319)",2
00:00:00,2126,Type 3,19.0,"(16.413526360203182, 48.17914110644286)","(16.349840999999998, 48.1825003)",1
00:00:00,5131,Type 3,19.0,"(16.349823975879037, 48.18057449564003)","(16.3379673592181, 48.20833702263092)",1
00:00:00,3125,Type 2,20.0,"(16.38651597802254, 48.22322543634394)","(16.3501206316945, 48.22654194308261)",2
00:00:00,1803,Type 3,22.0,"(16.33848860385958, 48.19352985186349)","(16.3673396335475, 48.18536219486841)",1
00:00:00,4816,Type 2,22.0,"(16.364844211152324, 48.18319919234158)","(16.33722864068023, 48.188762079240966)",1
00:00:00,1767,Type 3,22.0,"(16.331609741186046, 48.15037738126956)","(16.362769537277586, 48.19479347762514)",1
00:00:00,2457,Type 1,23.0,"(16.41293016786417, 48.26124929704659)","(16.349007897514852, 48.19287000177065)",1
00:00:00,5872,Type 1,24.0,"(16.31361904879535, 48.14469439068878)","(16.368799651840522, 48.23603995967726)",2
