00:00:00,0,M600,00:00:00,"(16.27298229498073, 48.19627260215861)","(16.379264495575597, 48.205421705425934)",1
00:00:00,0,M600,00:00:00,"(16.42342842232911, 48.19759066846225)","(16.376869912243958, 48.22342989994244)",1
00:00:00,0,M600,00:00:00,"(16.37478661128482, 48.22090057904532)","(16.345744557050406, 48.228903526533976)",1
00:00:00,0,M600,00:00:01,"(16.413526360203182, 48.17914110644286)","(16.376300806928434, 48.207475108242136)",1
00:00:00,0,M600,00:00:01,"(16.358330898525026, 48.23528853340501)","(16.44196779444053, 48.184723458431954)",1
00:00:00,0,M600,00:00:01,"(16.33161336359848, 48.15128084460396)","(16.345383726959724, 48.21322048995187)",1
00:00:00,0,M600,00:00:01,"(16.41248016786417, 48.26124929704659)","(16.32407588700316, 48.18837443772413)",1
00:00:00,0,M600,00:00:01,"(16.39272614884457, 48.15305348714484)","(16.272329783267427, 48.22202885087198)",1
00:00:00,0,M600,00:00:02,"(16.39272614884457, 48.15305348714484)","(16.360360462812768, 48.23595140393851)",1
00:00:00,0,M600,00:00:02,"(16.33161336359848, 48.15128084460396)","(16.314279706179487, 48.17037215173539)",1
00:00:00,0,M600,00:00:02,"(16.34976021459994, 48.20856482713119)","(16.327939395706977, 48.229521295274886)",1
