00:00:00,5459,Type 2,00:00:00,"(16.32297860495722, 48.14439486485833)","(16.345084149999998, 48.2233044)",2,,,,,,
00:00:00,3761,Type 3,00:00:00,"(16.35115986034095, 48.150101258334814)","(16.390016760923157, 48.174363312883216)",2,,,,,,
00:00:00,758,Type 1,00:00:01,"(16.348853281900926, 48.208798927222816)","(16.377867320224958, 48.20274116363519)",1,,,,,,
00:00:00,6065,Type 3,00:00:01,"(16.427357502497063, 48.23742284460008)","(16.383500771671475, 48.26194392484823)",1,,,,,,
00:00:00,3651,Type 2,00:00:01,"(16.309232547737825, 48.21903908507992)","(16.378720741416192, 48.15631577810933)",4,,,,,,
00:00:00,1074,Type 3,00:00:02,"(16.358525548309498, 48.21152812566819)","(16.41466182593075, 48.217341736061286)",2,,,,,,
00:00:00,5800,Type 2,00:00:03,"(16.375057412073655, 48.19141842400023)","(16.370032827969613, 48.26316257814428)",2,,,,,,
00:00:00,4289,Type 2,00:00:03,"(16.30997055454922, 48.23578371059724)","(16.32855821734644, 48.17020278301791)",2,,,,,,
00:00:00,4133,Type 1,00:00:04,"(16.398381854964235, 48.16823455388151)","(16.313703829007608, 48.16544605092897)",2,,,,,,
00:00:00,6001,Type 2,00:00:05,"(16.286100209930694, 48.174193615330495)","(16.385128745625092, 48.24638389013789)",2,,,,,,
00:00:00,6071,Type 3,00:00:05,"(16.405995046134706, 48.20303335268365)","(16.38367235352899, 48.26829797763091)",1,,,,,,
00:00:00,1049,Type 1,00:00:05,"(16.413526360203182, 48.17914110644286)","(16.41823861759776, 48.20628822552575)",1,,,,,,
00:00:00,3690,Type 2,00:00:05,"(16.41293016786417, 48.26124929704659)","(16.380149065057562, 48.175677647865314)",1,,,,,,
00:00:00,4403,Type 2,00:00:06,"(16.330709741186045, 48.15037738126956)","(16.3437312, 48.1803466)",1,,,,,,
00:00:00,1658,Type 2,00:00:06,"(16.36459537702986, 48.21132767891216)","(16.400330688634146, 48.20027792789927)",2,,,,,,
00:00:00,2825,Type 2,00:00:08,"(16.351529032585752, 48.2032258967411)","(16.35640815, 48.20044265)",2,,,,,,
00:00:00,5133,Type 2,00:00:09,"(16.40493810667576, 48.18265625190261)","(16.27798793041414, 48.244493911387394)",2,,,,,,
00:00:00,6447,Type 3,00:00:09,"(16.364844211152324, 48.18319919234158)","(16.350383346135622, 48.13766085392131)",1,,,,,,
00:00:00,4444,Type 3,00:00:09,"(16.40566045, 48.20255675)","(16.27649480329257, 48.18696758294048)",1,,,,,,
00:00:00,5902,Type 1,00:00:10,"(16.310273997176843, 48.21888118132159)","(16.376791215504436, 48.23693593588531)",1,,,,,,
00:00:00,3638,Type 1,00:00:11,"(16.349823975879037, 48.18057449564003)","(16.378550792488852, 48.1499746187323)",1,,,,,,
00:00:00,1971,Type 3,00:00:11,"(16.35800779095383, 48.23615309565032)","(16.370162339221874, 48.19435104562706)",1,,,,,,
00:00:00,4684,Type 1,00:00:12,"(16.39227614884457, 48.15305348714484)","(16.3241026, 48.1943472)",1,,,,,,
00:00:00,2988,Type 3,00:00:13,"(16.39227614884457, 48.15305348714484)","(16.347368896583973, 48.20834776154028)",1,,,,,,
00:00:00,3434,Type 1,00:00:14,"(16.42543443334464, 48.21068335006456)","(16.340811790014296, 48.15676445944901)",2,,,,,,
00:00:00,5232,Type 3,00:00:14,"(16.336372421753815, 48.170117391158605)","(16.30593258455968, 48.225185846434776)",2,,,,,,
00:00:00,2277,Type 2,00:00:14,"(16.37507775, 48.22102195)","(16.359680650277785, 48.19042152270527)",1,,,,,,
00:00:00,4970,Type 3,00:00:15,"(16.348474572939594, 48.20968152224519)","(16.30886281145679, 48.20879554267123)",2,,,,,,
00:00:00,74,Type 2,00:00:15,"(16.32330087790916, 48.15692928801911)","(16.3587609693725, 48.21433493632112)",2,,,,,,
00:00:00,1368,Type 1,00:00:15,"(16.34437299516217, 48.19842578981637)","(16.387811900000003, 48.188988)",2,,,,,,
00:00:00,5221,Type 3,00:00:16,"(16.37460325, 48.2203937)","(16.29662003558883, 48.23162260883915)",1,,,,,,
00:00:00,3668,Type 3,00:00:16,"(16.322979011778738, 48.25132611297772)","(16.379117993901, 48.168874404745885)",2,,,,,,
