00:00:00,8416,Type 2,1.0,"(16.40566045, 48.20255675)","(16.285650209930694, 48.174193615330495)",1
00:00:00,4589,Type 3,1.0,"(16.34437299516217, 48.19842578981637)","(16.349007897514852, 48.19287000177065)",2
00:00:00,11703,Type 1,1.0,"(16.30885995564679, 48.25227837428879)","(16.445308380533255, 48.24442945453824)",1
00:00:00,4441,Type 2,1.0,"(16.27027426998761, 48.213023071238815)","(16.341613314193093, 48.19524950531152)",2
00:00:00,8938,Type 1,1.0,"(16.355694657051007, 48.229955348790114)","(16.33079195, 48.2016483)",2
00:00:00,8499,Type 2,1.0,"(16.350766914252333, 48.223175470584266)","(16.26935431366393, 48.194015627411424)",2
00:00:00,3275,Type 2,2.0,"(16.35123869465479, 48.18141044437578)","(16.414836947996214, 48.19202041213584)",1
00:00:00,8313,Type 2,2.0,"(16.427357502497063, 48.23742284460008)","(16.343514868101483, 48.18528623061244)",1
00:00:00,11611,Type 3,2.0,"(16.40566045, 48.20255675)","(16.42602976125201, 48.23202366190273)",1
00:00:00,2703,Type 2,2.0,"(16.349670511193892, 48.2095185412365)","(16.3882063, 48.2060851)",1
00:00:00,1018,Type 1,2.0,"(16.371351393625137, 48.19513442237616)","(16.372873871971457, 48.201789607827415)",2
00:00:00,6499,Type 1,3.0,"(16.30930995564679, 48.25227837428879)","(16.35045562013697, 48.16299468752664)",1
00:00:00,5731,Type 2,3.0,"(16.38412235352899, 48.26829797763091)","(16.355356178227552, 48.21035536430987)",2
00:00:00,8170,Type 2,4.0,"(16.36062772049065, 48.23561190030963)","(16.335922421753814, 48.170117391158605)",2
00:00:00,730,Type 2,4.0,"(16.294905259564644, 48.15122387929475)","(16.367307553682522, 48.21594784184854)",2
00:00:00,5289,Type 1,4.0,"(16.445224127639065, 48.225466210713805)","(16.355433672808445, 48.20255296757189)",2
00:00:00,7453,Type 2,4.0,"(16.413526360203182, 48.17914110644286)","(16.4326801549468, 48.17578215063329)",1
00:00:00,7630,Type 3,4.0,"(16.366151251038925, 48.18656921659419)","(16.299103431150463, 48.170633473176814)",2
00:00:00,6860,Type 2,5.0,"(16.43269926837681, 48.19115742917694)","(16.37934020752628, 48.18120439926854)",2
00:00:00,734,Type 1,5.0,"(16.405995046134706, 48.20303335268365)","(16.367307553682522, 48.21594784184854)",1
00:00:00,6670,Type 1,5.0,"(16.352359833539467, 48.2088223449927)","(16.370730967243944, 48.16962486889083)",2
00:00:00,1769,Type 2,5.0,"(16.331159741186045, 48.15037738126956)","(16.39514187715242, 48.21456030280752)",1
00:00:00,11780,Type 2,6.0,"(16.331609741186046, 48.15037738126956)","(16.4635136535387, 48.21890574451845)",1
00:00:00,7557,Type 3,6.0,"(16.435764127807037, 48.22558475492961)","(16.442207833681298, 48.1817251906001)",2
00:00:00,4927,Type 1,6.0,"(16.34980497527009, 48.18114628366276)","(16.3409937000555, 48.20279681022122)",1
