00:00:00,4242,Type 1,00:00:00,"(16.40566045, 48.20255675)","(16.355269445296454, 48.22695335633713)",1,,,,,,
00:00:00,284,Type 3,00:00:00,"(16.423854115736077, 48.18242346937394)","(16.36337527056108, 48.20916733548708)",2,,,,,,
00:00:00,4565,Type 2,00:00:02,"(16.27943821470807, 48.20024635134576)","(16.350622183267827, 48.169335906668)",2,,,,,,
00:00:00,2758,Type 3,00:00:02,"(16.413526360203182, 48.17914110644286)","(16.345882724303138, 48.1886419980594)",1,,,,,,
00:00:00,1565,Type 3,00:00:03,"(16.39317614884457, 48.15305348714484)","(16.44151779444053, 48.184723458431954)",1,,,,,,
00:00:00,8260,Type 2,00:00:03,"(16.33979576775175, 48.241170048341935)","(16.30373274030812, 48.14480186667115)",1,,,,,,
00:00:00,2603,Type 2,00:00:04,"(16.37507775, 48.22102195)","(16.37092494770811, 48.20044435734753)",1,,,,,,
00:00:00,3682,Type 1,00:00:04,"(16.331609741186046, 48.15037738126956)","(16.351539944980406, 48.205818190698906)",1,,,,,,
00:00:00,5052,Type 2,00:00:04,"(16.364844211152324, 48.18319919234158)","(16.404142469393943, 48.17000596594804)",1,,,,,,
00:00:00,4623,Type 3,00:00:05,"(16.331609741186046, 48.15037738126956)","(16.359934054541437, 48.16288288305477)",1,,,,,,
00:00:00,7708,Type 3,00:00:05,"(16.350725778916818, 48.17532307086817)","(16.378026205391585, 48.24739433748897)",2,,,,,,
00:00:00,2722,Type 2,00:00:05,"(16.41248016786417, 48.26124929704659)","(16.37498069480947, 48.19814474958669)",1,,,,,,
00:00:00,4871,Type 3,00:00:06,"(16.351529032585752, 48.2032258967411)","(16.388026717598716, 48.14986052066946)",2,,,,,,
00:00:00,2936,Type 1,00:00:06,"(16.27298229498073, 48.19627260215861)","(16.359469472889156, 48.18172778863645)",1,,,,,,
00:00:00,3420,Type 3,00:00:07,"(16.413526360203182, 48.17914110644286)","(16.3409937000555, 48.20279681022122)",1,,,,,,
00:00:00,3313,Type 3,00:00:07,"(16.359650030909076, 48.2168880536268)","(16.35936122114309, 48.198246877624776)",2,,,,,,
00:00:00,6803,Type 1,00:00:08,"(16.339134716755876, 48.19325944851234)","(16.28762300783087, 48.25071765463373)",1,,,,,,
00:00:00,4643,Type 2,00:00:08,"(16.35800779095383, 48.23615309565032)","(16.360202038060084, 48.17590847474067)",1,,,,,,
00:00:00,2216,Type 3,00:00:08,"(16.309571768365693, 48.21861857620648)","(16.406042298690398, 48.187864898667726)",4,,,,,,
00:00:00,3650,Type 2,00:00:08,"(16.413526360203182, 48.17914110644286)","(16.352345310191645, 48.20423698642295)",1,,,,,,
00:00:00,3461,Type 3,00:00:09,"(16.33848860385958, 48.19352985186349)","(16.34414997338435, 48.199149821456594)",1,,,,,,
00:00:00,2471,Type 3,00:00:10,"(16.27343229498073, 48.19627260215861)","(16.367463587061835, 48.19667335912927)",4,,,,,,
00:00:00,7185,Type 1,00:00:10,"(16.358817747355562, 48.23625273119687)","(16.3128567036484, 48.24508407446865)",1,,,,,,
00:00:00,6930,Type 2,00:00:10,"(16.413526360203182, 48.17914110644286)","(16.333789761784708, 48.21889703531608)",1,,,,,,
00:00:00,4488,Type 1,00:00:11,"(16.37044569220583, 48.2067706431749)","(16.365019967155938, 48.22671260936366)",2,,,,,,
00:00:00,2069,Type 2,00:00:11,"(16.41293016786417, 48.26124929704659)","(16.394420240066964, 48.20553538352292)",1,,,,,,
00:00:00,1412,Type 2,00:00:12,"(16.39289498944498, 48.24273209956538)","(16.414227194124155, 48.22297084288665)",2,,,,,,
00:00:00,2468,Type 1,00:00:13,"(16.349823975879037, 48.18057449564003)","(16.367463587061835, 48.19667335912927)",1,,,,,,
00:00:00,1777,Type 2,00:00:14,"(16.349670511193892, 48.2095185412365)","(16.381133801412542, 48.20141676297598)",1,,,,,,
00:00:00,4333,Type 2,00:00:14,"(16.331609741186046, 48.15037738126956)","(16.361102, 48.22234195)",1,,,,,,
00:00:00,6255,Type 3,00:00:14,"(16.34997162299478, 48.20801610132155)","(16.33722864068023, 48.188762079240966)",1,,,,,,
00:00:00,3116,Type 3,00:00:14,"(16.349823975879037, 48.18057449564003)","(16.34470647147948, 48.1914840677422)",1,,,,,,
00:00:00,738,Type 1,00:00:14,"(16.34997162299478, 48.20801610132155)","(16.37266195133584, 48.20634985677057)",1,,,,,,
00:00:00,3479,Type 2,00:00:15,"(16.349670511193892, 48.2095185412365)","(16.345015218561127, 48.2010987709126)",1,,,,,,
00:00:00,1791,Type 1,00:00:15,"(16.35844755539956, 48.20552179061737)","(16.386348722151943, 48.1841255068033)",2,,,,,,
00:00:00,6109,Type 1,00:00:15,"(16.339134716755876, 48.19325944851234)","(16.323778964122727, 48.18881292863089)",1,,,,,,
00:00:00,7645,Type 1,00:00:16,"(16.34024576775175, 48.241170048341935)","(16.369330544053096, 48.25732021706175)",1,,,,,,
00:00:00,231,Type 2,00:00:16,"(16.427807502497064, 48.23742284460008)","(16.36366263469762, 48.201323820897365)",1,,,,,,
00:00:00,3789,Type 2,00:00:17,"(16.413526360203182, 48.17914110644286)","(16.342888252936863, 48.2091265210039)",1,,,,,,
00:00:00,5102,Type 3,00:00:17,"(16.366713068860435, 48.201456660848976)","(16.41377213010611, 48.17621513595687)",2,,,,,,
00:00:00,7736,Type 3,00:00:18,"(16.427357502497063, 48.23742284460008)","(16.37723048680226, 48.25185231945709)",1,,,,,,
00:00:00,6095,Type 3,00:00:19,"(16.349823975879037, 48.18057449564003)","(16.31705075, 48.2017202)",1,,,,,,
